Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100 nF,C1525
C3,0805,1,10µ,C440198
C4,0603,1,100n,C14663
"C5, C6",0805,2,22µ,C45783
D2,0603,1,red,C2286
J1,header_90degree_01x06_back,1,Conn_01x06_Pin,
J2,USB_C_Receptacle,1,USB_C_Receptacle_USB2.0_16P,C709357
J3,Header_ESP01,1,ESP_programming,
L1,L_APV_APH0420,1,4µ7,C133193
"R1, R2, R4, R5",0402,4,10k,C25744
R3,2512,1,50 mOhm,C154681
R8,0402,1,1k,C11702
"U1, U4",1pin,2,~,
U2,SOT-23-8,1,INA219AxDCN,C87469
U3,ESP-01,1,ESP01s,
U5,TSOT-23-6,1,AP63203WU,C780769
"U6, U7, U8",JLC_tooling_hole,3,~,
