Designator,Mid X,Mid Y,Rotation,Layer
C1,147.56,-70.17,270.0,top
C2,155.78,-88.18,90.0,top
C3,150.38,-71.63,0.0,top
C4,147.495,-77.95,180.0,top
C5,155.73,-71.9,90.0,top
C6,155.74,-75.77,270.0,top
D2,155.06,-62.46,90.0,top
J1,150.0,-56.66,270.0,top
J2,150.0,-101.3,0.0,top
J3,150.0,-81.91,0.0,top
L1,152.11,-75.82,90.0,top
R1,144.11,-87.03,270.0,top
R2,155.81,-86.07,270.0,top
R3,145.05,-68.7975,270.0,top
R4,155.76,-90.33,90.0,top
R5,144.13,-89.04,90.0,top
R8,155.08,-65.46,270.0,top
U1,149.419,-65.392,0.0,top
U2,150.552838,-68.696471,180.0,top
U3,150.0,-87.8,0.0,top
U4,145.03,-69.67,0.0,top
U5,147.56,-74.9925,90.0,top
U6,143.3,-93.5,0.0,top
U7,144.5,-59.5,0.0,top
U8,155.5,-59.5,0.0,top
