Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C8",0402,5,100n,C1525
"C10, C9",0402,2,10p,C32949 
C11,0805,1,10µ,C440198
C12,0603,1,100n,C14663
"C13, C14",0805,2,22µ,C45783
C5,0603,1,10µ,C19702 
C6,0402,1,10n,C15195
C7,0603,1,1µ,C15849
"D1, D3",DIOM7959X265N,2,SS34,C8678
D2,0603,1,red,C2286
"J1, J3, J4",USB_C_Receptacle,3,USB_C_Receptacle_USB2.0_16P,C709357
J2,4pin,1,Debug,
L1,L_APV_APH0420,1,4µ7,C133193
R1,0603,1,10k,C25804 
"R2, R3",0402,2,5k1,C25905
R4,0402,1,1k5,C25867
"R5, R6",0402,2,2k2,C25879
R7,0402,1,1k,C11702
R8,2512,1,50 mOhm,C154681
SW1,SW_SPDT_PCM12,1,SW_SPDT,C109335
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U2,TSOT-23-6,1,AP63203WU,
U3,OLED_display_0_66,1,0.66inch OLED display,
U4,SOT-23-8,1,INA219AxDCN,C87469
"U5, U6, U7",JLC_tooling_hole,3,~,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C112972
