Designator,Mid X,Mid Y,Rotation,Layer
C1,112.72,-62.01,270.0,top
C10,109.46,-53.73,0.0,top
C11,101.82,-85.57,270.0,top
C12,104.74,-87.78,180.0,top
C13,114.87,-85.6,270.0,top
C14,112.6,-85.6,270.0,top
C2,111.34,-69.19,0.0,top
C3,101.2,-67.03,90.0,top
C4,111.98,-60.13,0.0,top
C5,100.21,-57.59,90.0,top
C6,105.1,-58.59,0.0,top
C7,103.25,-57.595,90.0,top
C8,105.1,-57.54,180.0,top
C9,111.85,-57.08,90.0,top
D1,99.36,-85.72,270.0,top
D2,104.78,-89.68,0.0,top
D3,96.83,-52.14,0.0,top
J1,114.0,-95.71,0.0,top
J2,114.63,-77.64,0.0,top
J3,100.0,-40.0,180.0,top
J4,114.0,-40.0,180.0,top
L1,109.03,-85.7,90.0,top
R1,105.35,-70.69,0.0,top
R2,111.34,-89.15,270.0,top
R3,116.1,-89.15,90.0,top
R4,115.03,-89.15,270.0,top
R5,114.92,-62.35,270.0,top
R6,113.82,-62.35,270.0,top
R7,102.06,-89.71,180.0,top
R8,103.92,-50.26,0.0,top
SW1,100.0,-96.0,0.0,top
U1,107.0,-64.52,180.0,top
U2,104.77,-84.7975,90.0,top
U3,107.0,-65.0,0.0,top
U4,111.085,-50.36,180.0,top
U5,94.0,-81.5,0.0,top
U6,120.0,-52.0,0.0,top
U7,120.0,-89.5,0.0,top
Y1,109.39,-56.94,90.0,top
